,Name,Pos,Pk,Tm
139,Rodney Carney,SF,16,CHI
140,Mardy Collins,SF,29,NYK
141,Paul Davis,C,34,LAC
142,Quincy Douby,PG,19,SAC
143,Jordan Farmar,PG,26,LAL
144,Randy Foye,PG,7,BOS
145,Rudy Gay,SF,8,HOU
146,Daniel Gibson,PG,42,CLE
147,Ryan Hollins,C,50,CHA
148,Solomon Jones,PF,33,ATL
149,Kyle Lowry,PG,24,MEM
150,Paul Millsap,PF,47,UTA
151,Adam Morrison,PF,3,CHA
152,David Noel,PF,39,MIL
153,Steve Novak,SF,32,HOU
154,Leon Powe,C,49,DEN
155,Rajon Rondo,PG,21,PHO
156,Brandon Roy,SG,6,MIN
157,Craig Smith,PF,36,MIN
158,Tyrus Thomas,PF,4,POR
159,Marcus Williams,PG,22,NJN
160,Shawne Williams,SG,17,IND
161,Shelden Williams,PF,5,ATL
162,Arron Afflalo,SG,27,DET
163,Morris Almond,SG,25,UTA
164,Corey Brewer,SF,7,MIN
165,Aaron Brooks,PG,26,HOU
166,Wilson Chandler,SF,23,NYK
167,Mike Conley,PG,4,MEM
168,Daequan Cook,SG,21,PHI
169,Javaris Crittenton,SG,19,LAL
170,Glen Davis,C,35,SEA
171,Guillermo Diaz,SG,52,LAC
172,Jared Dudley,PF,22,CHA
173,Kevin Durant,SG,2,SEA
174,Nick Fazekas,PF,34,DAL
175,Jeff Green,SF,5,BOS
176,Taurean Green,SG,52,POR
177,Spencer Hawes,C,10,SAC
178,Al Horford,C,3,ATL
179,Carl Landry,PF,31,SEA
180,Acie Law,PG,11,ATL
181,Josh McRoberts,PF,37,POR
182,Demetris Nichols,SF,53,POR
183,Joakim Noah,C,9,CHI
184,Gabe Pruitt,PG,32,BOS
185,Ramon Sessions,PG,56,MIL
186,Jason Smith,PF,20,MIA
187,Rodney Stuckey,PG,15,DET
188,Al Thornton,PF,14,LAC
189,Alando Tucker,SF,29,PHO
190,Julian Wright,SF,13,NOK
191,Nick Young,SG,16,WAS
192,Thaddeus Young,PF,12,PHI
193,Joe Alexander,SF,8,MIL
194,Ryan Anderson,PF,21,NJN
195,Darrell Arthur,PF,27,NOH
196,Jerryd Bayless,PG,11,IND
197,Michael Beasley,PF,2,MIA
198,Mario Chalmers,PG,34,MIN
199,Joe Crawford,SF,58,LAL
200,Chris Douglas-Roberts,SG,40,NJN
201,Eric Gordon,SG,7,LAC
202,Donte Greene,SF,28,MEM
203,Malik Hairston,SG,48,PHO
204,Roy Hibbert,C,17,TOR
205,George Hill,PG,26,SAS
206,Darnell Jackson,PF,52,MIA
207,Kosta Koufos,C,23,UTA
208,Courtney Lee,SG,22,ORL
209,Brook Lopez,C,10,NJN
210,Robin Lopez,C,15,PHO
211,Kevin Love,C,5,MEM
212,JaVale McGee,C,18,WAS
213,Anthony Randolph,PF,14,GSW
214,Derrick Rose,PG,1,CHI
215,Brandon Rush,SG,13,POR
216,Sean Singletary,PG,42,SAC
217,Mike Taylor,PG,55,POR
218,Jason Thompson,PF,12,SAC
219,Kyle Weaver,SG,38,CHA
220,Sonny Weems,SG,39,CHI
221,Russell Westbrook,PG,4,SEA
222,Jon Brockman,PF,38,POR
223,Derrick Brown,SF,40,CHA
224,Chase Budinger,SF,44,DET
225,Earl Clark,PF,14,PHO
226,Darren Collison,PG,21,NOH
227,Dante Cunningham,PF,33,POR
228,Stephen Curry,PG,7,GSW
229,Austin Daye,SF,15,DET
230,DeMar DeRozan,SG,9,TOR
231,Wayne Ellington,SG,28,MIN
232,Tyreke Evans,SG,4,SAC
233,Jonny Flynn,PG,6,MIN
234,Danny Green,SG,46,CLE
235,Taylor Griffin,SF,48,PHO
236,Tyler Hansbrough,PF,13,IND
